DEP,P15_POP,P15_POPF,P15_POP0014,P15_POP1529,P15_POP3044,P15_POP4559,P15_POP6074,P15_POP7589,P15_POP90P,P15_F0014,P15_F1529,P15_F3044,P15_F4559,P15_F6074,P15_F7589,P15_F90P
27,601948,307523.22391817,121663.479747208,96731.0640422209,118006.461737757,122108.310676919,94191.2802783289,43718.1704361143,5529.23308145211,59181.8424690966,47686.0714107244,59711.5567256613,61590.2455191559,48765.6778050418,26413.1857946478,4174.64419384238
28,434035,221922.478235003,85267.7212300377,68569.6202653614,82595.9516728839,88040.9860571482,68838.8571954046,35541.8054363254,5180.05814283872,41928.4430659884,33507.1365981431,41716.2484509031,44480.1767108059,35459.3515504497,21071.2067486541,3759.9151100585
29,907796,466410.894408975,155321.17045501,147392.522057103,163165.074978605,185600.639357231,157150.332972134,88115.3477045113,11050.9124754054,75866.0288743177,69989.2563881102,80448.5147073584,93139.6487025043,82913.3820293683,55559.1192387189,8494.94446859656
2A,152730,78821.044459153,23451.7018190336,23168.2595492446,29434.2351813021,32278.8433047596,27558.2182187174,15038.6154386756,1800.12648826719,11340.2198713834,11520.6624558461,15284.2817410053,16501.8583629159,14273.1812897979,8573.77608050721,1327.06465769728
2B,174553,89127.9307003114,27083.3032469621,28553.1003909418,33713.403175458,35763.3662796981,31029.1153663664,16339.4983809639,2071.21315960967,13098.8336472151,14111.2116625812,17010.7647047181,18058.364412886,15930.7275868392,9382.61086755165,1535.41781852004
30,738189,382308.063454017,130033.86897673,116990.359769226,131120.844300724,152604.264315374,131888.676812087,66371.5827328485,9179.40309301102,63369.5574277112,57594.0298400097,67564.2866934548,78991.9467319517,68872.7252715495,39230.5935061284,6684.92398321169
31,1335103,683557.164832072,235115.731728677,287745.324429784,276988.225527187,255673.266961746,176148.993271798,90398.9812593599,13032.4768214473,114637.759646801,144343.068090943,137524.891455483,129836.672510214,93787.130525741,53883.738243503,9543.90435938681
32,190932,97728.412195129,29620.5323054621,24453.0466880506,31405.8473016833,41378.6042826092,37842.7230831346,22735.8859222766,3495.36041678375,14384.6879937528,11794.4584575273,15945.7330341049,20848.3792404,19355.508530334,12943.0729136294,2456.57202538064
33,1548478,804312.216157617,267682.151108788,295798.68343233,308976.530562071,303671.913397168,235266.089648216,118807.191569144,18275.4402822836,130878.812341581,149286.44854011,156637.799365349,156694.745812932,125381.284533383,71788.3557000861,13644.7698641739
34,1120190,584651.470055323,188724.595731409,213916.365370532,207048.941998361,213038.776342774,188636.361331177,95251.212051153,13573.747174593,91869.8908316116,108325.037447397,106229.533761287,111409.911436221,100753.973025871,56097.4349758085,9965.68857712758
35,1042884,533729.469472622,200835.613007836,205644.688892213,206159.700499598,197941.718877211,143409.783941981,78421.8645431047,10470.6302380571,98403.0988464028,102154.387046735,102479.996962254,99536.7190251343,75964.2454346183,47355.9651861846,7835.05697129342
36,224200,115944.808637758,34534.0272200282,30444.3162675485,36382.1589696126,47222.0667987386,44609.7737606386,27102.633496343,3905.02348709047,16921.8348597319,14779.4161022976,18352.9446629091,23717.7858880201,23094.8521494804,16216.6915147672,2861.28346055183
37,604966,314179.498589824,106173.821486499,109694.117777398,110300.918393089,118287.315096449,97634.0411644619,54418.6095876404,8457.17649446238,52115.3535919631,55679.2693048015,55834.1487862505,60291.3011225838,51755.8590693862,32345.0162051799,6158.55050965874
38,1251060,636443.47181615,243092.118057526,229983.495677633,244845.76816779,246537.183824466,183927.916150752,90977.2478655732,11696.2702562595,118117.232651549,111842.078545076,123121.392671776,124690.775719447,95975.5718874665,54105.2255660242,8591.1947748113
39,260587,133459.354037747,46516.1379189012,38870.4569937414,46675.1360677576,54054.3440922839,45657.49521934,25085.9233378335,3727.50637014236,22686.5276458679,18796.6438210718,23571.269693081,27084.1596335022,23461.8171446138,15132.8815518559,2726.05454775471
40,403234,207503.164937862,66476.4297351838,55656.1461951214,73733.121335137,84614.9162411008,76573.2570602951,40608.3269247546,5571.8025084074,32394.6663506669,26900.9834331331,37238.624912583,42900.4537144514,39994.6754747265,23958.416792253,4115.34426004818
41,333050,171306.575839266,58199.1696010781,48847.6620148334,57759.144369494,67979.2543441578,60019.600403912,35043.801757354,5201.36750917068,28518.7320178176,23882.4626900436,29143.5687502814,34324.3381808832,31209.9562024189,20491.9814654475,3735.53653237363
42,759411,393261.222433558,139267.823391378,128899.511102807,136019.010269081,146579.274223164,126104.970792614,72480.2641027052,10060.1461182521,68077.3008606028,63865.9348568941,68267.3008007115,74623.0013623508,66292.5312229299,44532.3024575319,7602.85087253738
43,227034,115405.435342444,39461.8718038161,32701.9895490777,40165.7578614576,47707.3382237494,41019.4237044939,22864.2756098931,3113.34324751213,19289.038430373,15501.9447842917,19974.4551247934,23564.8313120499,20738.8048185126,14010.6471848501,2325.71368757314
44,1365227,702466.666059438,265100.891074942,252567.943763272,272788.054031224,261257.569831821,198472.197197496,101037.393021652,14002.9510795952,129557.458129219,124457.741128096,136904.571247041,132461.405639512,105995.744658515,62495.3792615122,10594.3659955416
45,673349,345566.209041474,129920.284159347,116435.505811673,127194.528745154,131977.67773304,104964.190783986,55190.3063026829,7666.50646411627,63605.3088533632,57246.0465921792,64792.3631456425,66876.7383133171,54776.0005181766,32715.9246341577,5553.82698463809
46,173400,89459.4286430224,25207.4315686899,21852.9893958263,27265.1450769209,37087.7055944612,36954.9938538954,21707.0292154706,3324.70529473572,12476.3878912174,10429.6256949033,13759.772926759,18951.6324711555,18843.899301505,12632.6659649736,2365.44439250861
47,333417,172891.214108133,54602.4050891136,48337.3524515056,55971.7991711897,67831.8924155945,63897.579857962,37255.617040338,5520.35397429662,26560.4118557126,23800.0181723908,28581.9385413279,34977.9091673585,33265.2006026635,21766.2582446905,3939.4775239894
48,76309,38293.1111745877,11983.3574341458,11252.4469913586,13282.1711472679,16200.7210997519,14342.1121294134,7992.22385000051,1255.96734806189,5851.49691415589,5424.5109766792,6584.77153542409,7833.17762511735,7026.19311400846,4654.50598054177,918.455028660941
49,810186,415819.458831502,159874.447610782,147720.588418479,150998.552413704,154640.57710165,119936.347869056,66860.031751063,10155.4548352661,78091.7050207995,73758.4717741335,75122.4772408755,78288.7806979457,62959.5732783224,40225.1774130217,7373.27340640382
50,499287,256036.368854976,85629.4508395588,75426.6800113756,84489.3403105223,104393.900524794,89133.7029932366,53143.9472693045,7069.97805120824,41934.0983546036,36166.8477519517,42261.4098557372,51885.2195235292,46322.80454362,32182.6662153354,5283.3226101989
51,572293,294557.176264115,103553.564816344,111754.944848441,107543.62648501,111964.53722779,87879.5133004832,43659.4282778386,5937.3850440946,50664.9860715988,54822.6517772444,53797.6543060135,57452.2766267421,46441.9669829833,26922.6733598515,4454.96713968137
52,179154,91467.0665907441,29443.4988897968,27580.721374042,30307.5727846832,38067.8694856307,32765.8473926119,18580.0439330246,2408.44614021079,14402.5934597549,12921.9445652316,15001.4237572835,19261.7789104716,16805.9379693584,11260.9616157822,1812.42631286171
53,307940,156616.790984402,60354.5320010525,48320.2545152499,55369.2808489793,60911.755246495,48768.8523287365,29795.8457188877,4419.47934059895,29677.6443021999,23408.5563222141,27421.6478643328,30165.4798972602,25251.5812597921,17416.7287059122,3275.15263269023
54,734403,377579.761624437,127679.720896827,147437.779336163,138389.340654686,143197.047605837,111177.265027239,59409.0202044243,7112.82627482385,62382.7799655914,72334.8048661454,69081.3535460998,73210.7305403159,58500.2551159187,36701.6636657594,5368.17392460638
55,190626,96516.3961958008,33897.8989555594,30383.468367187,33991.0799422072,39860.5650853673,32581.0933663314,17655.0206097882,2256.8736735595,16544.7130372149,14283.8553353354,16804.759780922,19760.7767621023,16640.2909792394,10764.1906506983,1717.80965028853
56,744813,383760.759188459,130213.775819103,110604.691155969,131500.570121484,152963.776311851,136542.097694435,73551.5310624038,9436.55783475489,63709.4153155889,52847.2773625869,65798.0059105101,77359.2419907718,71943.3939710364,45004.7404549266,7098.68418303815
